Filename,Source_URL,File_Size,Description,Source
Health_Dynamics_of_India_2023-24.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=65,74.84 MB,Latest Health Dynamics & Rural Infra Statistics (2023-24),Direct MoHFW/HMIS Portal
HDI_2022-23.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=68,62.60 MB,Health Dynamics of India (2022-23),Direct MoHFW/HMIS Portal
Rural_Health_Statistics_2021-22.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=34,28.68 MB,Rural Health Statistics Bulletin (2021-22),Direct MoHFW/HMIS Portal
Rural_Health_Statistics_2020-21.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=35,8.51 MB,Rural Health Statistics Bulletin (2020-21),Direct MoHFW/HMIS Portal
Rural_Health_Statistics_2019-20.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=36,10.10 MB,Rural Health Statistics Bulletin (2019-20),Direct MoHFW/HMIS Portal
Rural_Health_Statistics_2018-19.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=37,19.76 MB,Rural Health Statistics Bulletin (2018-19),Direct MoHFW/HMIS Portal
Rural_Health_Statistics_2017-18.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=38,67.92 MB,Rural Health Statistics Bulletin (2017-18),Direct MoHFW/HMIS Portal
Rural_Health_Statistics_2016-17.pdf,https://hmis.mohfw.gov.in/downloadfile?fileid=39,12.32 MB,Rural Health Statistics Bulletin (2016-17),Direct MoHFW/HMIS Portal
