Financial_Year,State,District,Total_Facilities,Public_Facilities,Total_Deliveries,Total_C_Section_Deliveries,Public_Facility_Share_Pct,District_C_Section_Rate_Pct
2024-25,Rajasthan,Khairthal-Tijara,73,52,14758,1437,71.23,9.74
2024-25,Rajasthan,Kota,135,73,38444,16367,54.07,42.57
2024-25,Rajasthan,Kotputli-Behror,68,47,19712,3504,69.12,17.78
2024-25,Rajasthan,Nagaur,168,141,26578,5396,83.93,20.3
2024-25,Rajasthan,Neem Ka Thana,66,59,8714,1449,89.39,16.63
2024-25,Rajasthan,Pali,179,149,32012,8010,83.24,25.02
2024-25,Rajasthan,Phalodi,58,50,11643,261,86.21,2.24
2024-25,Rajasthan,Pratapgarh,40,39,18474,622,97.5,3.37
2024-25,Rajasthan,Rajsamand,142,132,21222,2169,92.96,10.22
2024-25,Rajasthan,Salumbar,64,59,9200,20,92.19,0.22
2024-25,Rajasthan,Sanchore,122,103,18617,2264,84.43,12.16
2024-25,Rajasthan,Sawai Madhopur,36,27,15892,1826,75.0,11.49
2024-25,Rajasthan,Shahpura,49,49,7555,2,100.0,0.03
2024-25,Rajasthan,Sikar,144,88,32420,10622,61.11,32.76
2024-25,Rajasthan,Sirohi,77,62,24358,3239,80.52,13.3
2024-25,Rajasthan,Tonk,90,75,23390,3332,83.33,14.25
2024-25,Rajasthan,Udaipur,371,340,54197,11148,91.64,20.57
